n_shared,diff_pp,ci_low_pp,ci_high_pp,p,model,domain,benchmark,cond_a,cond_b,p_holm,sig_raw,sig_holm
256,3.90625,-0.78125,8.59375,0.1012,falcon,codealpaca,gsm8k,mlp_only,__base__,1.0,False,False
512,-1.7578125,-3.7109375,0.1953125,0.1012,falcon,gsm8k_train,hellaswag,all_eligible,attention_only,1.0,False,False
256,-5.078125,-11.328125,0.78125,0.102,qwen3,ultrachat,gsm8k,softmax_only,gdn_plus_mlp,1.0,False,False
512,1.7578125,-0.1953125,3.7109375,0.102,falcon,codealpaca,hellaswag,attention_only,attention_plus_mlp,1.0,False,False
512,-1.953125,-4.296875,0.1953125,0.1022,falcon,ultrachat,hellaswag,all_eligible,ssm_only,1.0,False,False
512,-3.3203125,-7.2265625,0.5859375,0.1048,qwen3,ultrachat,hellaswag,gdn_only,__base__,1.0,False,False
299,2.341137123745819,-0.33444816053511706,5.016722408026756,0.1048,falcon,gsm8k_train,arc_challenge,attention_only,mlp_only,1.0,False,False
512,1.953125,-0.390625,4.296875,0.1082,falcon,codealpaca,hellaswag,attention_only,ssm_plus_mlp,1.0,False,False
299,-2.6755852842809364,-5.68561872909699,0.33444816053511706,0.1116,qwen3,codealpaca,arc_challenge,softmax_only,mlp_only,1.0,False,False
512,2.734375,-0.5859375,5.859375,0.1122,qwen3,codealpaca,mmlu,softmax_only,gdn_plus_mlp,1.0,False,False
128,-7.03125,-15.625,1.5625,0.1126,qwen3,gsm8k_train,gsm8k,softmax_only,mlp_only,1.0,False,False
164,3.048780487804878,-0.6097560975609756,6.707317073170732,0.115,falcon,codealpaca,humaneval,ssm_only,ssm_plus_mlp,1.0,False,False
256,-3.125,-6.640625,0.390625,0.1164,falcon,ultrachat,gsm8k,mlp_only,ssm_plus_mlp,1.0,False,False
256,-3.125,-7.03125,0.78125,0.1174,falcon,ultrachat,gsm8k,mlp_only,attention_plus_mlp,1.0,False,False
299,-1.6722408026755853,-3.678929765886288,0.33444816053511706,0.1174,falcon,codealpaca,arc_challenge,all_eligible,__base__,1.0,False,False
512,-1.5625,-3.515625,0.1953125,0.1198,falcon,gsm8k_train,mmlu,attention_only,__base__,1.0,False,False
299,-1.6722408026755853,-3.678929765886288,0.0,0.1198,falcon,gsm8k_train,arc_challenge,all_eligible,ssm_only,1.0,False,False
512,1.953125,-0.390625,4.296875,0.1234,qwen3,gsm8k_train,mmlu,gdn_plus_mlp,__base__,1.0,False,False
512,-2.34375,-5.2734375,0.5859375,0.125,falcon,ultrachat,hellaswag,ssm_only,__base__,1.0,False,False
512,-2.9296875,-6.4453125,0.5859375,0.1254,qwen3,codealpaca,hellaswag,gdn_only,mlp_only,1.0,False,False
512,2.1484375,-0.5859375,4.8828125,0.1284,qwen3,ultrachat,hellaswag,softmax_only,softmax_plus_mlp,1.0,False,False
128,7.03125,-1.5625,15.625,0.1286,qwen3,gsm8k_train,gsm8k,all_layers,__base__,1.0,False,False
256,3.90625,-0.78125,8.59375,0.1308,falcon,codealpaca,gsm8k,all_eligible,mlp_only,1.0,False,False
512,-1.5625,-3.515625,0.390625,0.1342,falcon,codealpaca,hellaswag,all_eligible,__base__,1.0,False,False
256,4.6875,-1.171875,10.546875,0.1362,falcon,gsm8k_train,gsm8k,attention_only,mlp_only,1.0,False,False
512,1.5625,-0.390625,3.515625,0.137,falcon,gsm8k_train,hellaswag,attention_only,ssm_only,1.0,False,False
512,-1.5625,-3.515625,0.390625,0.1374,falcon,ultrachat,hellaswag,attention_only,__base__,1.0,False,False
128,-6.25,-14.0625,1.5625,0.1382,qwen3,gsm8k_train,gsm8k,gdn_only,gdn_plus_mlp,1.0,False,False
299,-1.6722408026755853,-4.013377926421405,0.33444816053511706,0.1504,falcon,codealpaca,arc_challenge,ssm_plus_mlp,__base__,1.0,False,False
512,-2.734375,-6.4453125,0.9765625,0.1504,qwen3,ultrachat,hellaswag,all_layers,softmax_plus_mlp,1.0,False,False
299,2.0066889632107023,-0.6688963210702341,4.682274247491638,0.153,qwen3,gsm8k_train,arc_challenge,gdn_only,gdn_plus_mlp,1.0,False,False
512,2.734375,-0.9765625,6.4453125,0.159,qwen3,codealpaca,mmlu,softmax_only,gdn_only,1.0,False,False
256,-3.515625,-8.203125,1.171875,0.1598,falcon,codealpaca,gsm8k,mlp_only,ssm_plus_mlp,1.0,False,False
299,2.0066889632107023,-0.6688963210702341,4.682274247491638,0.1614,falcon,gsm8k_train,arc_challenge,attention_only,ssm_plus_mlp,1.0,False,False
512,1.7578125,-0.5859375,4.1015625,0.1692,qwen3,ultrachat,mmlu,softmax_plus_mlp,__base__,1.0,False,False
256,-3.90625,-9.375,1.171875,0.1704,qwen3,codealpaca,gsm8k,gdn_only,gdn_plus_mlp,1.0,False,False
512,1.7578125,-0.5859375,4.1015625,0.1714,falcon,gsm8k_train,mmlu,ssm_only,mlp_only,1.0,False,False
512,2.1484375,-0.78125,5.078125,0.1716,qwen3,codealpaca,hellaswag,all_layers,softmax_plus_mlp,1.0,False,False
512,-1.7578125,-4.1015625,0.5859375,0.172,qwen3,gsm8k_train,mmlu,all_layers,softmax_only,1.0,False,False
512,1.3671875,-0.390625,3.125,0.175,falcon,gsm8k_train,hellaswag,attention_only,ssm_plus_mlp,1.0,False,False
299,-2.0066889632107023,-4.682274247491638,0.6688963210702341,0.1874,qwen3,ultrachat,arc_challenge,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
256,3.515625,-1.5625,8.59375,0.1938,falcon,ultrachat,gsm8k,ssm_only,mlp_only,1.0,False,False
164,3.048780487804878,-1.2195121951219512,7.317073170731707,0.1942,falcon,codealpaca,humaneval,attention_only,ssm_plus_mlp,1.0,False,False
