model_key,condition,train_dataset,benchmark,n,acc_reported,acc_corrected,n_labels_changed,n_multi_hash,seed,base_reported,base_corrected,delta_reported,delta_corrected
falcon_h1_0_5b_base,mlp_only,ultrachat,gsm8k,256,0.46875,0.5859375,30,220,3407,0.3828125,0.53125,0.0859375,0.0546875
falcon_h1_0_5b_base,mlp_only,ultrachat,hellaswag,512,0.29296875,0.29296875,0,0,3407,0.330078125,0.330078125,-0.037109375,-0.037109375
falcon_h1_0_5b_base,mlp_only,ultrachat,mmlu,512,0.5078125,0.5078125,0,0,3407,0.517578125,0.517578125,-0.009765625,-0.009765625
falcon_h1_0_5b_base,ssm_only,ultrachat,arc_challenge,299,0.7391304347826086,0.7391304347826086,0,0,3407,0.7424749163879598,0.7424749163879598,-0.0033444816053511683,-0.0033444816053511683
falcon_h1_0_5b_base,ssm_only,ultrachat,gsm8k,256,0.48828125,0.62109375,34,223,3407,0.3828125,0.53125,0.10546875,0.08984375
falcon_h1_0_5b_base,ssm_only,ultrachat,hellaswag,512,0.306640625,0.306640625,0,0,3407,0.330078125,0.330078125,-0.0234375,-0.0234375
falcon_h1_0_5b_base,ssm_only,ultrachat,mmlu,512,0.517578125,0.517578125,0,0,3407,0.517578125,0.517578125,0.0,0.0
falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,arc_challenge,299,0.7391304347826086,0.7391304347826086,0,0,3407,0.7424749163879598,0.7424749163879598,-0.0033444816053511683,-0.0033444816053511683
falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,gsm8k,256,0.47265625,0.6171875,37,219,3407,0.3828125,0.53125,0.08984375,0.0859375
falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,hellaswag,512,0.30078125,0.30078125,0,0,3407,0.330078125,0.330078125,-0.029296875,-0.029296875
falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,mmlu,512,0.5078125,0.5078125,0,0,3407,0.517578125,0.517578125,-0.009765625,-0.009765625
qwen3_5_0_8b_base,__base__,base,arc_challenge,299,0.7324414715719063,0.7324414715719063,0,0,3407,0.7324414715719063,0.7324414715719063,0.0,0.0
qwen3_5_0_8b_base,__base__,base,gsm8k,128,0.296875,0.421875,18,113,3407,0.296875,0.421875,0.0,0.0
qwen3_5_0_8b_base,__base__,base,hellaswag,512,0.416015625,0.416015625,0,0,3407,0.416015625,0.416015625,0.0,0.0
qwen3_5_0_8b_base,__base__,base,mmlu,512,0.482421875,0.482421875,0,0,3407,0.482421875,0.482421875,0.0,0.0
qwen3_5_0_8b_base,all_layers,codealpaca,arc_challenge,299,0.7224080267558528,0.7224080267558528,0,0,3407,0.7324414715719063,0.7324414715719063,-0.010033444816053505,-0.010033444816053505
qwen3_5_0_8b_base,all_layers,codealpaca,gsm8k,256,0.078125,0.37890625,77,233,3407,0.296875,0.421875,-0.21875,-0.04296875
qwen3_5_0_8b_base,all_layers,codealpaca,hellaswag,512,0.43359375,0.43359375,0,0,3407,0.416015625,0.416015625,0.017578125,0.017578125
qwen3_5_0_8b_base,all_layers,codealpaca,humaneval,164,0.0,0.23780487804878048,39,0,3407,,,,
qwen3_5_0_8b_base,all_layers,codealpaca,mmlu,512,0.486328125,0.486328125,0,0,3407,0.482421875,0.482421875,0.00390625,0.00390625
qwen3_5_0_8b_base,gdn_only,codealpaca,arc_challenge,299,0.7357859531772575,0.7357859531772575,0,0,3407,0.7324414715719063,0.7324414715719063,0.0033444816053511683,0.0033444816053511683
qwen3_5_0_8b_base,gdn_only,codealpaca,gsm8k,256,0.1015625,0.37890625,71,199,3407,0.296875,0.421875,-0.1953125,-0.04296875
qwen3_5_0_8b_base,gdn_only,codealpaca,hellaswag,512,0.396484375,0.396484375,0,0,3407,0.416015625,0.416015625,-0.01953125,-0.01953125
qwen3_5_0_8b_base,gdn_only,codealpaca,humaneval,164,0.0,0.25609756097560976,42,0,3407,,,,
qwen3_5_0_8b_base,gdn_only,codealpaca,mmlu,512,0.478515625,0.478515625,0,0,3407,0.482421875,0.482421875,-0.00390625,-0.00390625
qwen3_5_0_8b_base,gdn_plus_mlp,codealpaca,arc_challenge,299,0.7224080267558528,0.7224080267558528,0,0,3407,0.7324414715719063,0.7324414715719063,-0.010033444816053505,-0.010033444816053505
qwen3_5_0_8b_base,gdn_plus_mlp,codealpaca,gsm8k,256,0.2265625,0.41796875,49,121,3407,0.296875,0.421875,-0.0703125,-0.00390625
qwen3_5_0_8b_base,gdn_plus_mlp,codealpaca,hellaswag,512,0.42578125,0.42578125,0,0,3407,0.416015625,0.416015625,0.009765625,0.009765625
qwen3_5_0_8b_base,gdn_plus_mlp,codealpaca,humaneval,164,0.0,0.22560975609756098,37,0,3407,,,,
qwen3_5_0_8b_base,gdn_plus_mlp,codealpaca,mmlu,512,0.478515625,0.478515625,0,0,3407,0.482421875,0.482421875,-0.00390625,-0.00390625
qwen3_5_0_8b_base,mlp_only,codealpaca,arc_challenge,299,0.745819397993311,0.745819397993311,0,0,3407,0.7324414715719063,0.7324414715719063,0.013377926421404673,0.013377926421404673
qwen3_5_0_8b_base,mlp_only,codealpaca,gsm8k,256,0.203125,0.3828125,46,156,3407,0.296875,0.421875,-0.09375,-0.0390625
qwen3_5_0_8b_base,mlp_only,codealpaca,hellaswag,512,0.42578125,0.42578125,0,0,3407,0.416015625,0.416015625,0.009765625,0.009765625
qwen3_5_0_8b_base,mlp_only,codealpaca,humaneval,164,0.0,0.22560975609756098,37,0,3407,,,,
qwen3_5_0_8b_base,mlp_only,codealpaca,mmlu,512,0.49609375,0.49609375,0,0,3407,0.482421875,0.482421875,0.013671875,0.013671875
qwen3_5_0_8b_base,softmax_only,codealpaca,arc_challenge,299,0.7190635451505016,0.7190635451505016,0,0,3407,0.7324414715719063,0.7324414715719063,-0.013377926421404673,-0.013377926421404673
qwen3_5_0_8b_base,softmax_only,codealpaca,gsm8k,256,0.18359375,0.38671875,54,197,3407,0.296875,0.421875,-0.11328125,-0.03515625
qwen3_5_0_8b_base,softmax_only,codealpaca,hellaswag,512,0.427734375,0.427734375,0,0,3407,0.416015625,0.416015625,0.01171875,0.01171875
qwen3_5_0_8b_base,softmax_only,codealpaca,humaneval,164,0.0,0.21341463414634146,35,0,3407,,,,
qwen3_5_0_8b_base,softmax_only,codealpaca,mmlu,512,0.505859375,0.505859375,0,0,3407,0.482421875,0.482421875,0.0234375,0.0234375
qwen3_5_0_8b_base,softmax_plus_mlp,codealpaca,arc_challenge,299,0.7290969899665551,0.7290969899665551,0,0,3407,0.7324414715719063,0.7324414715719063,-0.0033444816053511683,-0.0033444816053511683
qwen3_5_0_8b_base,softmax_plus_mlp,codealpaca,gsm8k,256,0.09765625,0.390625,77,205,3407,0.296875,0.421875,-0.19921875,-0.03125
qwen3_5_0_8b_base,softmax_plus_mlp,codealpaca,hellaswag,512,0.412109375,0.412109375,0,0,3407,0.416015625,0.416015625,-0.00390625,-0.00390625
qwen3_5_0_8b_base,softmax_plus_mlp,codealpaca,humaneval,164,0.0,0.24390243902439024,40,0,3407,,,,
qwen3_5_0_8b_base,softmax_plus_mlp,codealpaca,mmlu,512,0.494140625,0.494140625,0,0,3407,0.482421875,0.482421875,0.01171875,0.01171875
qwen3_5_0_8b_base,all_layers,gsm8k_train,arc_challenge,299,0.745819397993311,0.745819397993311,0,0,3407,0.7324414715719063,0.7324414715719063,0.013377926421404673,0.013377926421404673
qwen3_5_0_8b_base,all_layers,gsm8k_train,gsm8k,128,0.375,0.4921875,15,58,3407,0.296875,0.421875,0.078125,0.0703125
